country_iso3,country_name,year,indicator_key,indicator_code,indicator_name,value,source,missing
DOM,Dominican Republic,2021,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",7.702000,WorldBank,0
DOM,Dominican Republic,2022,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",5.504000,WorldBank,0
DOM,Dominican Republic,2023,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",5.555000,WorldBank,0
DOM,Dominican Republic,2024,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",5.473000,WorldBank,0
DOM,Dominican Republic,2025,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
DOM,Dominican Republic,2026,UNEMPLOYMENT_PCT,SL.UEM.TOTL.ZS,"Unemployment, total (% of labor force)",,WorldBank,1
DOM,Dominican Republic,2020,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),5.239188,WorldBank,0
DOM,Dominican Republic,2021,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),2.226499,WorldBank,0
DOM,Dominican Republic,2022,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),2.098393,WorldBank,0
DOM,Dominican Republic,2023,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),8.174303,WorldBank,0
DOM,Dominican Republic,2024,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),10.531551,WorldBank,0
DOM,Dominican Republic,2025,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
DOM,Dominican Republic,2026,REAL_INTEREST_PCT,FR.INR.RINR,Real interest rate (%),,WorldBank,1
CUB,Cuba,2020,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-10.949436,WorldBank,0
CUB,Cuba,2021,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.254487,WorldBank,0
CUB,Cuba,2022,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.774652,WorldBank,0
CUB,Cuba,2023,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-1.929371,WorldBank,0
CUB,Cuba,2024,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-1.061733,WorldBank,0
CUB,Cuba,2025,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
CUB,Cuba,2026,GDP_GROWTH_PCT,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),,WorldBank,1
CUB,Cuba,2020,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
CUB,Cuba,2021,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
CUB,Cuba,2022,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
CUB,Cuba,2023,INFLATION_PCT,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",,WorldBank,1
